in s,C1 in V
-5.5897164E-01,5.68945E+00
-5.5896240E-01,5.65039E+00
-5.5895316E-01,5.65039E+00
-5.5894392E-01,5.68945E+00
-5.5893468E-01,5.68945E+00
-5.5892544E-01,5.70898E+00
-5.5891620E-01,5.61133E+00
-5.5890696E-01,5.65039E+00
-5.5889772E-01,5.68945E+00
-5.5888848E-01,5.66992E+00
-5.5887924E-01,5.61133E+00
-5.5887000E-01,5.66992E+00
-5.5886076E-01,5.66992E+00
-5.5885152E-01,5.66992E+00
-5.5884228E-01,5.65039E+00
-5.5883304E-01,5.68945E+00
-5.5882380E-01,5.70898E+00
-5.5881456E-01,5.65039E+00
-5.5880532E-01,5.63086E+00
-5.5879608E-01,5.70898E+00
-5.5878684E-01,5.65039E+00
-5.5877760E-01,5.63086E+00
-5.5876836E-01,5.61133E+00
-5.5875912E-01,5.70898E+00
-5.5874988E-01,5.65039E+00
-5.5874064E-01,5.70898E+00
-5.5873140E-01,5.68945E+00
-5.5872216E-01,5.70898E+00
-5.5871292E-01,5.68945E+00
-5.5870368E-01,5.66992E+00
-5.5869444E-01,5.63086E+00
-5.5868520E-01,5.70898E+00
-5.5867596E-01,5.68945E+00
-5.5866672E-01,5.65039E+00
-5.5865748E-01,5.65039E+00
-5.5864824E-01,5.63086E+00
-5.5863900E-01,5.63086E+00
-5.5862976E-01,5.68945E+00
-5.5862052E-01,5.63086E+00
-5.5861128E-01,5.65039E+00
-5.5860204E-01,5.68945E+00
-5.5859280E-01,5.68945E+00
-5.5858356E-01,5.59180E+00
-5.5857432E-01,5.70898E+00
-5.5856508E-01,5.68945E+00
-5.5855584E-01,5.68945E+00
-5.5854660E-01,5.66992E+00
-5.5853736E-01,5.61133E+00
-5.5852812E-01,5.68945E+00
-5.5851888E-01,5.61133E+00
-5.5850964E-01,5.65039E+00
-5.5850040E-01,5.70898E+00
-5.5849116E-01,5.68945E+00
-5.5848192E-01,5.63086E+00
-5.5847268E-01,5.61133E+00
-5.5846344E-01,5.59180E+00
-5.5845420E-01,5.63086E+00
-5.5844496E-01,5.72852E+00
-5.5843572E-01,5.63086E+00
-5.5842648E-01,5.63086E+00
-5.5841724E-01,5.68945E+00
-5.5840800E-01,5.68945E+00
-5.5839876E-01,5.65039E+00
-5.5838952E-01,5.65039E+00
-5.5838028E-01,5.72852E+00
-5.5837104E-01,5.65039E+00
-5.5836180E-01,5.66992E+00
-5.5835256E-01,5.65039E+00
-5.5834332E-01,5.63086E+00
-5.5833408E-01,5.65039E+00
-5.5832484E-01,5.66992E+00
-5.5831560E-01,5.61133E+00
-5.5830636E-01,5.68945E+00
-5.5829712E-01,5.66992E+00
-5.5828788E-01,5.66992E+00
-5.5827864E-01,5.65039E+00
-5.5826940E-01,5.70898E+00
-5.5826016E-01,5.63086E+00
-5.5825092E-01,5.61133E+00
-5.5824168E-01,5.63086E+00
-5.5823244E-01,5.63086E+00
-5.5822320E-01,5.65039E+00
-5.5821396E-01,5.66992E+00
-5.5820472E-01,5.65039E+00
-5.5819548E-01,5.66992E+00
-5.5818624E-01,5.68945E+00
-5.5817700E-01,5.66992E+00
-5.5816776E-01,5.63086E+00
-5.5815852E-01,5.63086E+00
-5.5814928E-01,5.63086E+00
-5.5814004E-01,5.61133E+00
-5.5813080E-01,5.68945E+00
-5.5812156E-01,5.68945E+00
-5.5811232E-01,5.66992E+00
-5.5810308E-01,5.61133E+00
-5.5809384E-01,5.65039E+00
-5.5808460E-01,5.61133E+00
-5.5807536E-01,5.65039E+00
-5.5806612E-01,5.61133E+00
-5.5805688E-01,5.63086E+00
-5.5804764E-01,5.68945E+00
-5.5803840E-01,5.72852E+00
-5.5802916E-01,5.66992E+00
-5.5801992E-01,5.61133E+00
-5.5801068E-01,5.66992E+00
-5.5800144E-01,5.63086E+00
-5.5799220E-01,5.63086E+00
-5.5798296E-01,5.68945E+00
-5.5797372E-01,5.66992E+00
-5.5796448E-01,5.70898E+00
-5.5795524E-01,5.63086E+00
-5.5794600E-01,5.63086E+00
-5.5793676E-01,5.65039E+00
-5.5792752E-01,5.63086E+00
-5.5791828E-01,5.63086E+00
-5.5790904E-01,5.59180E+00
-5.5789980E-01,5.68945E+00
-5.5789056E-01,5.57227E+00
-5.5788132E-01,5.59180E+00
-5.5787208E-01,5.63086E+00
-5.5786284E-01,5.68945E+00
-5.5785360E-01,5.65039E+00
-5.5784436E-01,5.63086E+00
-5.5783512E-01,5.63086E+00
-5.5782588E-01,5.59180E+00
-5.5781664E-01,5.63086E+00
-5.5780740E-01,5.65039E+00
-5.5779816E-01,5.66992E+00
-5.5778892E-01,5.68945E+00
-5.5777968E-01,5.63086E+00
-5.5777044E-01,5.65039E+00
-5.5776120E-01,5.65039E+00
-5.5775196E-01,5.65039E+00
