in s,C1 in V,C2 in V
-1.20000E-01,6.854258E+00,8.350742E+00
-1.20000E-01,7.000742E+00,9.073398E+00
-1.19976E-01,6.854258E+00,8.497227E+00
-1.19976E-01,7.000742E+00,9.102695E+00
-1.19952E-01,6.854258E+00,8.477695E+00
-1.19952E-01,7.010508E+00,9.102695E+00
-1.19928E-01,6.854258E+00,8.458164E+00
-1.19928E-01,7.010508E+00,9.102695E+00
-1.19904E-01,6.854258E+00,8.458164E+00
-1.19904E-01,7.000742E+00,9.102695E+00
-1.19880E-01,6.844492E+00,8.526523E+00
-1.19880E-01,7.000742E+00,9.092930E+00
-1.19856E-01,6.844492E+00,8.526523E+00
-1.19856E-01,6.990977E+00,9.044102E+00
-1.19832E-01,6.854258E+00,8.340977E+00
-1.19832E-01,6.990977E+00,9.044102E+00
-1.19808E-01,6.854258E+00,8.340977E+00
-1.19808E-01,6.990977E+00,8.917148E+00
-1.19784E-01,6.854258E+00,8.497227E+00
-1.19784E-01,6.990977E+00,8.917148E+00
-1.19760E-01,6.844492E+00,8.497227E+00
-1.19760E-01,6.990977E+00,8.946445E+00
-1.19736E-01,6.844492E+00,8.477695E+00
-1.19736E-01,6.990977E+00,9.053867E+00
-1.19712E-01,6.844492E+00,8.350742E+00
-1.19712E-01,6.981211E+00,9.053867E+00
-1.19688E-01,6.844492E+00,8.350742E+00
-1.19688E-01,6.990977E+00,8.995273E+00
-1.19664E-01,6.824961E+00,8.409336E+00
-1.19664E-01,6.990977E+00,8.995273E+00
-1.19640E-01,6.824961E+00,8.448398E+00
-1.19640E-01,6.981211E+00,9.005039E+00
-1.19616E-01,6.844492E+00,8.448398E+00
-1.19616E-01,6.990977E+00,9.005039E+00
-1.19592E-01,6.834727E+00,8.448398E+00
-1.19592E-01,6.990977E+00,8.995273E+00
-1.19568E-01,6.834727E+00,8.555820E+00
-1.19568E-01,6.981211E+00,9.092930E+00
-1.19544E-01,6.824961E+00,8.702305E+00
-1.19544E-01,6.981211E+00,9.092930E+00
-1.19520E-01,6.824961E+00,8.565586E+00
-1.19520E-01,6.981211E+00,9.044102E+00
-1.19496E-01,6.815195E+00,8.448398E+00
-1.19496E-01,6.981211E+00,8.848789E+00
-1.19472E-01,6.815195E+00,8.389805E+00
-1.19472E-01,6.971445E+00,8.848789E+00
-1.19448E-01,6.824961E+00,8.389805E+00
-1.19448E-01,6.981211E+00,8.712070E+00
-1.19424E-01,6.824961E+00,8.448398E+00
-1.19424E-01,6.981211E+00,8.839023E+00
-1.19400E-01,6.824961E+00,8.526523E+00
-1.19400E-01,6.971445E+00,8.878086E+00
-1.19376E-01,6.815195E+00,8.526523E+00
-1.19376E-01,6.981211E+00,8.887852E+00
-1.19352E-01,6.815195E+00,8.555820E+00
-1.19352E-01,6.981211E+00,8.887852E+00
-1.19328E-01,6.815195E+00,8.624180E+00
-1.19328E-01,6.971445E+00,8.936680E+00
-1.19304E-01,6.815195E+00,8.565586E+00
-1.19304E-01,6.971445E+00,8.936680E+00
-1.19280E-01,6.805430E+00,8.555820E+00
-1.19280E-01,6.971445E+00,8.907383E+00
-1.19256E-01,6.805430E+00,8.497227E+00
-1.19256E-01,6.981211E+00,8.956211E+00
-1.19232E-01,6.805430E+00,8.497227E+00
-1.19232E-01,6.981211E+00,8.956211E+00
-1.19208E-01,6.785898E+00,8.458164E+00
-1.19208E-01,6.971445E+00,8.936680E+00
-1.19184E-01,6.785898E+00,8.458164E+00
-1.19184E-01,6.971445E+00,8.839023E+00
-1.19160E-01,6.785898E+00,8.409336E+00
-1.19160E-01,6.971445E+00,8.839023E+00
-1.19136E-01,6.785898E+00,8.311680E+00
-1.19136E-01,6.971445E+00,8.780430E+00
-1.19112E-01,6.795664E+00,8.262852E+00
-1.19112E-01,6.961680E+00,8.536289E+00
-1.19088E-01,6.795664E+00,8.262852E+00
-1.19088E-01,6.961680E+00,8.458164E+00
-1.19064E-01,6.795664E+00,8.243320E+00
-1.19064E-01,6.951914E+00,8.516758E+00
-1.19040E-01,6.795664E+00,8.243320E+00
-1.19040E-01,6.951914E+00,8.516758E+00
-1.19016E-01,6.795664E+00,8.311680E+00
-1.19016E-01,6.951914E+00,8.506992E+00
-1.18992E-01,6.785898E+00,8.311680E+00
-1.18992E-01,6.951914E+00,8.516758E+00
-1.18968E-01,6.785898E+00,8.311680E+00
-1.18968E-01,6.951914E+00,8.516758E+00
-1.18944E-01,6.776133E+00,8.311680E+00
-1.18944E-01,6.961680E+00,8.516758E+00
-1.18920E-01,6.776133E+00,8.340977E+00
-1.18920E-01,6.961680E+00,8.585117E+00
-1.18896E-01,6.756602E+00,8.380039E+00
-1.18896E-01,6.942148E+00,8.604648E+00
-1.18872E-01,6.756602E+00,8.389805E+00
-1.18872E-01,6.942148E+00,8.604648E+00
